n; k; ScoreMoyen;
;;;
10;8.0;71.99999999999977
20;8.0;74.07399999999977
30;8.0;76.33999999999976
40;8.0;76.87599999999976
50;8.0;79.14199999999975
60;8.0;81.30199999999975
70;8.0;83.56799999999974
80;8.0;85.83399999999973
90;8.0;88.09999999999972
100;8.0;88.63599999999973
110;8.0;90.90199999999972
120;8.0;93.16799999999971
130;8.0;95.4339999999997
140;8.0;97.69999999999969
150;8.0;99.85999999999969
160;8.0;102.12599999999968
170;8.0;104.39199999999967
180;8.0;106.65799999999966
190;8.0;108.92399999999965
