n; k; ScoreMoyen;
;;;
10;4.0;51368.00000000002
20;4.0;51556.760000000024
30;4.0;51745.520000000026
40;4.0;51934.28000000003
50;4.0;52123.04000000003
60;4.0;52311.80000000003
70;4.0;52500.560000000034
80;4.0;52689.320000000036
90;4.0;52878.08000000004
100;4.0;53066.84000000004
110;4.0;53255.60000000004
120;4.0;53444.360000000044
130;4.0;53633.120000000046
140;4.0;53821.88000000005
150;4.0;54010.64000000005
160;4.0;54199.40000000005
170;4.0;54388.160000000054
180;4.0;54576.92000000006
190;4.0;54765.68000000006
