n; k; ScoreMoyen;
;;;
10;8.0;71.99999999999993
20;8.0;74.96999999999993
30;8.0;77.93999999999993
40;8.0;80.90999999999993
50;8.0;83.87999999999992
60;8.0;86.84999999999992
70;8.0;89.81999999999992
80;8.0;92.78999999999992
90;8.0;95.75999999999992
100;8.0;98.72999999999992
110;8.0;101.69999999999992
120;8.0;104.66999999999992
130;8.0;107.63999999999992
140;8.0;110.60999999999991
150;8.0;113.57999999999991
160;8.0;116.54999999999991
170;8.0;119.51999999999991
180;8.0;122.48999999999991
190;8.0;125.45999999999991
