n; k; ScoreMoyen;
;;;
10;4.0;87523.52200000062
20;4.0;87708.69600000062
30;4.0;88012.31200000062
40;4.0;88197.48600000062
50;4.0;88327.59800000061
60;4.0;88404.1160000006
70;4.0;88600.86800000061
80;4.0;88824.50000000061
90;4.0;89096.7220000006
100;4.0;89246.7660000006
110;4.0;89376.8780000006
120;4.0;89513.64200000059
130;4.0;89805.68000000059
140;4.0;90029.31200000059
150;4.0;90264.52200000058
160;4.0;90536.74400000057
170;4.0;90733.49600000058
180;4.0;90918.67000000058
190;4.0;91103.84400000058
