n; k; ScoreMoyen;
;;;
10;4.0;63151.9839999995
20;4.0;63346.675999999505
30;4.0;63470.51999999951
40;4.0;63660.407999999516
50;4.0;63784.25199999951
60;4.0;63915.18199999951
70;4.0;64046.11199999951
80;4.0;64169.95599999952
90;4.0;64333.027999999525
100;4.0;64463.95799999952
110;4.0;64622.51799999952
120;4.0;64782.03199999953
130;4.0;64967.40799999954
140;4.0;65162.09999999954
150;4.0;65329.975999999544
160;4.0;65610.12599999955
170;4.0;65741.05599999955
180;4.0;65864.89999999954
190;4.0;66050.27599999953
