n; k; ScoreMoyen;
;;;
10;5.0;31634.00000000001
20;5.0;31990.630000000012
30;5.0;32387.54000000001
40;5.0;32744.170000000013
50;5.0;33100.80000000001
60;5.0;33457.430000000015
70;5.0;33814.06000000001
80;5.0;34170.69000000002
90;5.0;34527.320000000014
100;5.0;34883.95000000002
110;5.0;35240.580000000016
120;5.0;35597.21000000002
130;5.0;35953.84000000002
140;5.0;36310.47000000002
150;5.0;36667.10000000002
160;5.0;37023.730000000025
170;5.0;37380.36000000002
180;5.0;37736.99000000003
190;5.0;38093.620000000024
