n; k; ScoreMoyen;
;;;
10;5.0;109425.52200000068
20;5.0;109481.76000000068
30;5.0;109618.91400000067
40;5.0;109675.15200000067
50;5.0;109881.25200000068
60;5.0;110059.03000000067
70;5.0;110115.26800000067
80;5.0;110198.08200000068
90;5.0;110308.66000000067
100;5.0;110581.96000000066
110;5.0;110664.77400000067
120;5.0;110721.01200000069
130;5.0;110777.25000000068
140;5.0;110860.06400000068
150;5.0;110916.30200000068
160;5.0;110972.54000000069
170;5.0;111055.3540000007
180;5.0;111259.7080000007
190;5.0;111437.4860000007
